GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hygieia Publisher Plugin,hygieia.transformer,HygieiaConstants,3,0,0,0,1,0,1,0,1,0
Hygieia Publisher Plugin,hygieia.transformer,CucumberJsonToTestResultTransformer.new Object() {...},26,0,0,0,1,0,1,0,1,0
Hygieia Publisher Plugin,hygieia.transformer,CucumberJsonToTestResultTransformer,590,0,68,0,134,0,49,0,12,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaCodeQualityPublishStep.HygieiaCodeQualityPublisherStepExecution,0,358,0,32,0,57,0,20,0,4
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaDeployPublishStep,82,0,2,0,31,0,17,0,16,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaSonarPublishStep.DescriptorImpl,8,0,0,0,4,0,3,0,3,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaArtifactPublishStep.HygieiaArtifactPublishStepExecution,195,0,6,0,27,0,6,0,3,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaCodeQualityPublishStep.DescriptorImpl,0,8,0,0,0,4,0,3,0,3
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaDeployPublishStep.DescriptorImpl,46,0,2,0,14,0,6,0,5,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaTestPublishStep,63,0,0,0,26,0,13,0,13,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaBuildPublishStep.DescriptorImpl,38,0,0,0,11,0,4,0,4,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaDeployPublishStep.HygieiaDeployPublishStepExecution,161,0,6,0,24,0,6,0,3,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaTestPublishStep.DescriptorImpl,78,0,2,0,21,0,7,0,6,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaSonarPublishStep.HygieiaSonarPublishStepExecution,173,0,6,0,29,0,6,0,3,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaCodeQualityPublishStep,36,66,1,1,8,19,5,11,4,11
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaTestPublishStep.HygieiaArtifactPublishStepExecution,174,0,6,0,27,0,6,0,3,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaSonarPublishStep,23,0,0,0,10,0,5,0,5,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaArtifactPublishStep,52,0,2,0,19,0,11,0,10,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaBuildPublishStep,13,0,0,0,6,0,3,0,3,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaArtifactPublishStep.DescriptorImpl,16,0,2,0,7,0,5,0,4,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.workflow,HygieiaBuildPublishStep.HygieiaBuildPublishStepExecution,95,0,2,0,16,0,4,0,3,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia.utils,CodeQualityMetricsConverter,0,923,1,53,0,168,1,39,0,9
Hygieia Publisher Plugin,jenkins.plugins.hygieia.utils,CodeQualityMetricsConverter.new Object() {...},9,67,0,0,0,3,0,1,0,1
Hygieia Publisher Plugin,hygieia.builder,BuildBuilder,160,106,9,3,35,25,9,4,3,4
Hygieia Publisher Plugin,hygieia.builder,CommitBuilder,183,0,20,0,37,0,17,0,7,0
Hygieia Publisher Plugin,hygieia.builder,CucumberTestBuilder.new Object() {...},26,0,0,0,1,0,1,0,1,0
Hygieia Publisher Plugin,hygieia.builder,SonarBuilder,668,0,51,0,136,0,41,0,15,0
Hygieia Publisher Plugin,hygieia.builder,ArtifactBuilder,415,0,22,0,82,0,16,0,5,0
Hygieia Publisher Plugin,hygieia.builder,CucumberTestBuilder,749,0,34,0,171,0,30,0,11,0
Hygieia Publisher Plugin,hygieia.builder,DeployBuilder,391,0,6,0,79,0,9,0,6,0
Hygieia Publisher Plugin,hygieia.utils,WildCardURL,437,0,42,0,70,0,36,0,15,0
Hygieia Publisher Plugin,hygieia.utils,HygieiaUtils,579,94,78,2,121,20,62,9,22,9
Hygieia Publisher Plugin,jenkins.plugins.hygieia,DisabledNotifier,8,0,0,0,6,0,6,0,6,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,RestCall,180,54,15,1,36,16,11,4,3,4
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaResponse,44,9,2,0,9,4,6,1,5,1
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaListener,66,0,4,0,17,0,9,0,7,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaPublisher.HygieiaDeploy,45,0,0,0,16,0,8,0,8,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaPublisher.HygieiaSonar,21,0,0,0,8,0,4,0,4,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaPublisher.HygieiaBuild,9,0,0,0,4,0,2,0,2,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaPublisher,134,0,0,0,36,0,13,0,13,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaPublisher.DescriptorImpl,537,65,74,8,137,19,59,4,20,2
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaPublisher.HygieiaArtifact,36,0,2,0,11,0,7,0,6,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,RestCall.RestCallResponse,8,18,0,0,4,6,2,3,2,3
Hygieia Publisher Plugin,jenkins.plugins.hygieia,DefaultHygieiaService,502,92,27,1,102,22,23,4,9,4
Hygieia Publisher Plugin,jenkins.plugins.hygieia,ActiveNotifier,609,0,82,0,83,0,48,0,7,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,HygieiaPublisher.HygieiaTest,45,0,0,0,16,0,8,0,8,0
Hygieia Publisher Plugin,jenkins.plugins.hygieia,CustomObjectMapper,0,12,0,0,0,4,0,1,0,1
